TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
40,433.15,9,0.152937938,0.84,36,16.59090909,2
91,393.15,5,0.04,3,61,16.93181818,1
15,366.0439898,4,0,3,0,19.9,1
81.15107914,433.15,9,0.101958625,0.84,6,16.59,2
65.94470338,448.15,20,0.101958625,0.5,20.94470338,17.38636364,1
18.06407862,408.15,8,0.203935964,8,4.314078615,18.86363636,3
8.033333333,443.15,5,0.0815669,0.38,7.7,22.38636364,2
95,393.15,5,0.2,3,65,16.93181818,2
315,433.15,4.76,0,5,137.8125,21.59,1
10.282555,463.15,3,0,2.75,10,15.94375124,1
70,433.15,9,0.132546213,0.5,70,14.64,3
74.73324195,408.15,8,0.305903946,8,60.98324195,18.86363636,2
60,443.15,6,0,0.42,60,24.88636364,1
100,423.15,3,0.1086,2,95,12.386,2
25,423.15,9,0.132546213,0.5,25,14.64,1
199.7326203,438.15,8,0,5,169.7326203,16.70454545,2
140,438.15,4,0,5,90,17.6,2
20,463.15,6,0,0.42,20,24.88636364,1
548.773843,373.65,8,0.101967982,8,539.336343,18.86363636,3
255,433.15,4.76,0,5,77.8125,21.59,1
255.58,373.73,10,2.039172504,0.5,180,19.77272727,3
30,403.15,8,0.405231539,0.5,28.98256944,33.20454545,2
60,453.15,6,0,0.42,60,24.88636364,2
60.18683626,453.15,6,0,5,60.18683626,21.59090909,2
219.8905235,428.15,8,0,5,194.8905235,16.70454545,2
125,403.15,10,1.223503502,0.5,90,19.77272727,2
5,463.15,20,1,7.9,5,18.75,2
15.02307692,433.15,10,0.407834501,0.5,12.52307692,20.909,2
63.75,448.15,6,0,8,45,18.86363636,2
14.06946121,408.15,8,0.407871928,8,0.319461209,18.86363636,3
135.5369728,398.15,8,0.101967982,8,123.0369728,18.86363636,3
59.94615385,433.15,10,0.101958625,0.5,57.44615385,20.909,2
29.71732212,398.15,8,0.305903946,8,17.21732212,18.86363636,3
17,458.15,10,0.076468969,1,7,18.75,3
23.4375,448.15,6,0,5,0,15.02,1
180,413.15,8,0,4,150,11.932,1
21.46010282,398.15,8,0.203935964,8,8.960102821,18.86363636,3
80,453.15,8,0,8,75,16.89772727,3
60,463.15,19,0,0.42,60,12.95454545,1
106.875,433.15,8,0,8,90,18.86363636,1
195.7196128,398.15,8,0.305903946,8,183.2196128,18.86363636,2
85,413.15,5,0.15,3,55,16.93181818,1
110.7220987,408.15,8,0.407871928,8,96.97209872,18.86363636,2
45,388.15,10,0.815669002,0.5,15,19.77272727,2
202,430.2409091,7.69,0,5,135,14.5,2
10.282555,463.15,3,0.20261577,2.75,10,15.94375124,3
89.09961476,388.15,8,0.305903946,8,77.84961476,18.86363636,3
25,443.15,20,0,1.625,24.13483796,18.6,2
220.032055,418.15,8,0,5,200.032055,16.70454545,1
46.875,433.15,8,0,8,30,18.86363636,1
20.44924459,398.15,8,0.305903946,8,7.949244594,18.86363636,3
203.0059844,388.15,8,0.305903946,8,191.7559844,18.86363636,3
3.033333333,463.15,3.9,0.0815669,0.38,2.7,21.93181818,2
427.8648737,373.65,8,0.101967982,8,418.4273737,18.86363636,3
75,413.15,5,0,13.375,45,16.81818182,1
555.58,373.73,10,2.039172504,0.5,480,19.77272727,3
133,413.15,5,0.02,3,103,16.93181818,1
190,433.15,10,0,4,150,11.932,3
